(alpha=0.50),(alpha=1.00),(alpha=1.50),(alpha=2.00)
-478569790841321001320448.000000,-0.760234,-0.085433,-0.162513
0.005359,-0.111170,0.225529,0.060520
0.020995,-0.098528,0.170556,0.157737
0.078807,0.267984,-0.151038,0.291842
1.818543,-0.304780,-0.539362,0.066065
0.014284,0.041203,0.035383,-0.139385
0.001296,0.073475,0.198485,0.014604
0.016892,-0.167715,0.119689,-0.036289
-0.013220,-0.087986,0.049555,-0.016845
0.003597,0.093175,0.012126,-0.096560
-0.069645,0.200416,0.158236,-0.111233
-0.055526,-63.309348,0.040639,-0.174449
0.122774,-0.078628,0.008344,-0.066187
-0.003116,-0.016749,0.260365,-0.007978
-1.633660,-1.757923,0.048746,-0.126522
2.322166,-0.044750,0.192912,-0.161306
-0.000915,0.035446,-0.135214,0.205930
1.616768,0.450781,-0.065687,0.020344
0.295177,-0.340747,-0.254595,-0.055486
-0.024910,-0.215228,-0.148834,-0.265535
-0.145762,-0.001720,0.186577,-0.144297
-0.039338,0.028414,-0.157430,-0.043835
-1.133365,-0.161663,-0.252957,0.123798
0.301709,-0.059419,0.110373,0.096424
0.021842,0.152188,-0.156600,0.050920
0.013818,-0.083524,0.045028,-0.037173
0.132943,-0.155992,-0.827995,0.019051
-0.220193,0.487915,0.020697,-0.034176
-0.075679,-0.632718,0.015691,-0.034140
-0.050813,-0.035313,-0.136121,-0.009644
1.614979,0.214512,0.048829,-0.308336
-31.576039,0.222735,0.127509,0.063424
-0.362378,-9.787396,0.105626,0.013635
0.041553,-0.096757,-0.007333,-0.157258
0.052977,0.159307,-0.230217,-0.354647
-0.101569,-0.016705,-0.158735,0.071736
-0.028796,0.083787,-0.120067,0.105247
-0.183084,-0.043868,0.260789,-0.181876
-0.004631,1.632554,0.158180,0.021302
-4.455120,-1.736482,-0.226098,0.036430
-0.566756,-0.246834,-0.308061,-0.012504
-0.006790,1.195016,0.180796,0.332629
-0.124330,2.095752,0.032782,-0.011740
-0.050430,-0.312695,0.112277,0.105725
-0.022478,0.162154,0.012014,0.000555
0.041770,-0.014221,0.584687,0.063123
-0.798248,-0.366890,0.255964,0.420704
-0.152845,0.048690,-0.185672,0.003074
1.411459,0.067616,-0.080410,0.116932
-0.003389,-0.424945,0.002365,-0.396048
0.035287,0.913358,-0.098693,0.171779
0.010020,0.263291,-0.127409,-0.011079
-0.119591,0.022767,-0.059322,-0.187873
-0.772834,0.009384,-0.304655,0.000322
-0.000854,-0.903847,0.215009,0.051171
-17.367061,-0.106921,-0.139853,-0.131779
0.023225,0.112452,0.099342,0.001739
-2.598365,0.215575,0.208956,0.311667
-4.056197,0.059750,-0.034005,-0.262041
-0.514660,0.158216,-0.290884,-0.156749
0.091651,0.066451,-0.100258,-0.041445
0.188131,-0.164621,0.045431,0.037650
0.147116,0.406234,0.091037,-0.049805
0.034800,-2.315012,0.090921,-0.133477
-9.012997,-0.132272,-0.050517,0.007356
-0.055424,0.071358,-0.135122,-0.326121
-0.055618,-0.168990,-0.041641,-0.056025
-0.417727,0.048148,0.436124,-0.046977
-1.164177,-0.094924,0.121990,0.051478
0.007204,0.065203,0.135425,-0.179375
-0.294918,-0.106769,-0.088325,-0.063049
0.358496,-0.123418,-0.255968,-0.200427
-0.282710,-0.281921,0.233082,0.067866
0.101765,0.043433,-0.230788,-0.053357
0.309160,-0.006186,-0.080915,-0.016569
0.108260,0.105040,0.180295,-0.107530
-0.629872,0.188882,-0.156024,-0.183527
0.046499,-0.056731,-0.107882,0.080469
-0.001782,-0.076110,2.240480,-0.384571
0.412409,0.078734,-0.009434,-0.014843
0.064036,0.024348,0.047423,0.224886
-0.026117,-0.077536,-0.121832,-0.006921
-0.283879,0.038699,-0.069350,-0.174953
0.070478,-0.018091,-0.369044,0.001524
-0.067807,0.173236,0.087345,-0.274578
0.017658,0.294915,-0.218551,-0.094752
-0.194523,0.249664,0.019018,0.116815
-1.105753,0.141335,-0.034168,0.079082
-1.541861,0.064874,0.581004,0.178552
-0.081483,-1.484568,0.011827,0.103460
0.048282,0.270261,0.165430,0.169813
-0.029840,-0.074102,-0.085102,0.052551
0.091164,-0.721960,-0.027365,0.004308
-0.187606,-0.037732,-0.395166,0.043272
0.032309,-0.139013,0.112175,0.232595
-15.648562,-0.067797,-0.011279,-0.057508
-0.015242,0.077816,-0.096811,-0.086859
-0.185669,-0.086117,0.146006,-0.162568
0.018704,-0.022693,-0.153748,0.108461
-5.476588,0.520184,-0.098549,-0.139017
0.040438,0.028125,-0.095910,0.207100
2.357922,-0.341632,-0.039475,0.218020
0.858026,-1.112979,0.213271,-0.025261
0.295516,0.277804,0.122284,0.081346
-4.714344,0.041736,0.127823,0.060188
0.318412,-0.107912,0.030763,0.022745
-0.011018,-3.010493,0.031201,-0.008755
-0.079147,0.831814,-0.213400,0.137054
0.028165,1.114386,0.085740,0.055999
-0.633654,0.167858,0.586304,0.097708
0.023618,-0.214402,-0.068303,0.143223
9.242498,0.038475,-0.123197,0.027022
-0.152855,0.153305,0.120208,0.167235
-0.108275,0.090622,0.685547,-0.109292
0.076707,-0.436208,0.278440,0.002185
-0.092869,-0.237148,1.469644,-0.103985
0.014642,-0.013393,0.161681,0.140448
-0.003122,-0.013032,0.056510,-0.088067
-0.047520,0.845440,-0.131084,0.287003
0.433825,0.142740,-0.010616,-0.010333
6.116666,-0.460759,-0.037190,-0.181949
1.005662,-0.050731,-0.045468,-0.081161
-4.875554,-1.751740,-0.227585,0.023323
-0.059011,0.157161,0.150350,0.036605
1.025192,0.057644,0.160664,-0.244283
0.037792,0.048309,0.599856,-0.152907
